id_transaccion,departamento,categoria,monto_usd,fecha
TRX-1001,IT,Infraestructura Cloud,2450.00,2026-01-05
TRX-1002,Marketing,Campañas Digitales,3800.50,2026-01-12
TRX-1003,RRHH,Programa Onboarding,1250.00,2026-01-18
TRX-1004,Ventas,Viajes Corporativos,980.75,2026-01-22
TRX-1005,IT,Licencias Software SaaS,3100.00,2026-01-29
TRX-1006,Finanzas,Auditoría Externa,4500.00,2026-02-03
TRX-1007,Operaciones,Logística y Suministros,2150.30,2026-02-08
TRX-1008,IT,Hardware y Periféricos,1890.00,2026-02-14
TRX-1009,RRHH,Capacitación Técnica,1500.00,2026-02-19
TRX-1010,Marketing,Eventos y Webinars,2750.00,2026-02-25
TRX-1011,Ventas,Herramientas CRM,1420.00,2026-03-02
TRX-1012,IT,Ciberseguridad y SSL,3600.00,2026-03-07
TRX-1013,Finanzas,Servicios Legales,2900.00,2026-03-12
TRX-1014,Operaciones,Mantenimiento Equipos,1340.50,2026-03-17
TRX-1015,RRHH,Bienestar y Team Building,2100.00,2026-03-21
TRX-1016,Marketing,Material Promocional,850.00,2026-03-24
TRX-1017,IT,Servicios Cloud OCI,4200.00,2026-03-28
TRX-1018,Ventas,Comisiones y Viáticos,1750.25,2026-03-30
